key_path	fixture_path	startup_apply_command	model_identifier	verification_command	expected_result	actual_evidence_path	pass_fail_status
model_fit.cache_idle_slots	docs/skippy/manual-smoke/fixtures/model_fit/rejected-reserved.toml	target/debug/mesh-llm serve --config docs/skippy/manual-smoke/fixtures/model_fit/rejected-reserved.toml --headless	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	capture nonzero exit and missing launch in stderr	Local serve path did not fail closed on this reserved model-fit bundle before startup; row kept as blocker until isolated negative evidence exists.	.sisyphus/evidence/task-11-manual-runtime-smoke-error.txt	BLOCKED_EVIDENCE_GAP
model_fit.keep_tokens	docs/skippy/manual-smoke/fixtures/model_fit/rejected-reserved.toml	target/debug/mesh-llm serve --config docs/skippy/manual-smoke/fixtures/model_fit/rejected-reserved.toml --headless	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	capture nonzero exit and missing launch in stderr	Local serve path did not fail closed on this reserved model-fit bundle before startup; row kept as blocker until isolated negative evidence exists.	.sisyphus/evidence/task-11-manual-runtime-smoke-error.txt	BLOCKED_EVIDENCE_GAP
model_fit.context_shift	docs/skippy/manual-smoke/fixtures/model_fit/rejected-reserved.toml	target/debug/mesh-llm serve --config docs/skippy/manual-smoke/fixtures/model_fit/rejected-reserved.toml --headless	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	capture nonzero exit and missing launch in stderr	Local serve path did not fail closed on this reserved model-fit bundle before startup; row kept as blocker until isolated negative evidence exists.	.sisyphus/evidence/task-11-manual-runtime-smoke-error.txt	BLOCKED_EVIDENCE_GAP
model_fit.checkpoint_interval	docs/skippy/manual-smoke/fixtures/model_fit/rejected-reserved.toml	target/debug/mesh-llm serve --config docs/skippy/manual-smoke/fixtures/model_fit/rejected-reserved.toml --headless	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	capture nonzero exit and missing launch in stderr	Local serve path did not fail closed on this reserved model-fit bundle before startup; row kept as blocker until isolated negative evidence exists.	.sisyphus/evidence/task-11-manual-runtime-smoke-error.txt	BLOCKED_EVIDENCE_GAP
model_fit.checkpoint_count	docs/skippy/manual-smoke/fixtures/model_fit/rejected-reserved.toml	target/debug/mesh-llm serve --config docs/skippy/manual-smoke/fixtures/model_fit/rejected-reserved.toml --headless	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	capture nonzero exit and missing launch in stderr	Local serve path did not fail closed on this reserved model-fit bundle before startup; row kept as blocker until isolated negative evidence exists.	.sisyphus/evidence/task-11-manual-runtime-smoke-error.txt	BLOCKED_EVIDENCE_GAP
model_fit.lookup_cache_static	docs/skippy/manual-smoke/fixtures/model_fit/rejected-reserved.toml	target/debug/mesh-llm serve --config docs/skippy/manual-smoke/fixtures/model_fit/rejected-reserved.toml --headless	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	capture nonzero exit and missing launch in stderr	Local serve path did not fail closed on this reserved model-fit bundle before startup; row kept as blocker until isolated negative evidence exists.	.sisyphus/evidence/task-11-manual-runtime-smoke-error.txt	BLOCKED_EVIDENCE_GAP
model_fit.lookup_cache_dynamic	docs/skippy/manual-smoke/fixtures/model_fit/rejected-reserved.toml	target/debug/mesh-llm serve --config docs/skippy/manual-smoke/fixtures/model_fit/rejected-reserved.toml --headless	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	capture nonzero exit and missing launch in stderr	Local serve path did not fail closed on this reserved model-fit bundle before startup; row kept as blocker until isolated negative evidence exists.	.sisyphus/evidence/task-11-manual-runtime-smoke-error.txt	BLOCKED_EVIDENCE_GAP
hardware.model_runtime	docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9438 --console-port 3232 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded with hardware-focused fixture; see evidence for command, status, model list, chat response, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
hardware.device	docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9438 --console-port 3232 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded with hardware-focused fixture; see evidence for command, status, model list, chat response, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
hardware.gpu_layers	docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9438 --console-port 3232 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded with hardware-focused fixture; see evidence for command, status, model list, chat response, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
hardware.placement	docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9438 --console-port 3232 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded with hardware-focused fixture; see evidence for command, status, model list, chat response, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
hardware.tensor_split	docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9438 --console-port 3232 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded with hardware-focused fixture; see evidence for command, status, model list, chat response, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
hardware.split_mode	docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9438 --console-port 3232 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded with hardware-focused fixture; see evidence for command, status, model list, chat response, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
hardware.main_gpu	docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9438 --console-port 3232 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded with hardware-focused fixture; see evidence for command, status, model list, chat response, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
hardware.cpu_moe	docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9438 --console-port 3232 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded with hardware-focused fixture; see evidence for command, status, model list, chat response, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
hardware.n_cpu_moe	docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9438 --console-port 3232 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded with hardware-focused fixture; see evidence for command, status, model list, chat response, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
hardware.fit_target_mib	docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9438 --console-port 3232 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded with hardware-focused fixture; see evidence for command, status, model list, chat response, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
hardware.fit_context	docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9438 --console-port 3232 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded with hardware-focused fixture; see evidence for command, status, model list, chat response, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
hardware.model_path	docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9438 --console-port 3232 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded with hardware-focused fixture; see evidence for command, status, model list, chat response, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
hardware.check_tensors	docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9438 --console-port 3232 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded with hardware-focused fixture; see evidence for command, status, model list, chat response, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
hardware.mmap	docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9438 --console-port 3232 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded with hardware-focused fixture; see evidence for command, status, model list, chat response, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
hardware.mlock	docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9438 --console-port 3232 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded with hardware-focused fixture; see evidence for command, status, model list, chat response, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
hardware.direct_io	docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9438 --console-port 3232 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded with hardware-focused fixture; see evidence for command, status, model list, chat response, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
hardware.repack	docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9438 --console-port 3232 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded with hardware-focused fixture; see evidence for command, status, model list, chat response, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
hardware.op_offload	docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9438 --console-port 3232 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded with hardware-focused fixture; see evidence for command, status, model list, chat response, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
hardware.no_host_buffer	docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9438 --console-port 3232 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded with hardware-focused fixture; see evidence for command, status, model list, chat response, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
hardware.warmup	docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/hardware/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9438 --console-port 3232 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded with hardware-focused fixture; see evidence for command, status, model list, chat response, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
hardware.stage_layer_start	docs/skippy/manual-smoke/fixtures/skippy/staged-only.toml	target/debug/mesh-llm serve --config docs/skippy/manual-smoke/fixtures/skippy/staged-only.toml --headless	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	capture nonzero exit and missing launch in stderr	Local single-node smoke did not yield deterministic fail-before-launch evidence for staged-only controls; staged/package topology still needs dedicated local or multi-node proof.	.sisyphus/evidence/task-11-manual-runtime-smoke-error.txt	BLOCKED_STAGED_LOCAL
